Individual,Species,Temperature,Direction,Day,Date,Photo.low.pre,Photo.mean.pre,Photo.high.pre,Photo.low.post,Photo.mean.post,Photo.high.post,Resp.low,Resp.mean,Resp.high
ALRU21DA,ALRU,21,down,0,8/20/19,151.8554626,174.1346326,197.5031637,155.3218712,181.1224645,208.4705885,56.811356,57.03882844,57.36716065
ALRU21DA,ALRU,21,down,3,8/23/19,156.5986704,179.8306276,204.1776576,159.9962439,186.9781889,215.6504516,61.57642072,61.77422215,62.04102127
ALRU21DA,ALRU,21,down,7,8/27/19,152.9105566,175.2138826,198.5883327,156.140771,181.7137454,208.9482745,58.29410181,58.51080158,58.81376951
ALRU21DA,ALRU,21,down,14,9/3/19,144.9018811,166.3770909,188.8633967,141.0157289,164.238816,188.936935,57.59949521,57.85623422,58.22125025
ALRU21DA,ALRU,21,down,21,9/10/19,129.5098278,148.7500563,168.9415934,127.2263496,147.9245668,169.8547782,52.57513352,52.80203916,53.14121818
ALRU21DA,ALRU,21,down,36,9/25/19,113.6863817,129.9973553,147.1185134,122.0359544,140.9078097,160.7755375,58.6791043,58.9156209,59.25068475
ALRU21DA,ALRU,21,down,55,10/14/19,79.98329544,90.84250623,102.2186588,88.24039383,100.820809,113.9476171,56.55783269,56.90715042,57.31832446
ALRU21DA,ALRU,21,down,71,10/30/19,58.3323795,66.24699293,74.51761061,62.48735291,71.22002311,80.32749258,38.83102335,39.06652564,39.39865476
ALRU21DB,ALRU,21,down,0,8/20/19,42.08998773,47.94254503,54.08389821,48.09479639,54.96169639,62.14646718,32.98154377,33.2228703,33.58269259
ALRU21DB,ALRU,21,down,3,8/23/19,44.98740637,51.30060931,57.90374544,49.81011993,57.00853651,64.55463687,34.94972318,35.14634199,35.41421866
ALRU21DB,ALRU,21,down,7,8/27/19,44.0287688,50.30505315,56.85415939,48.13337347,55.20342919,62.62999729,30.80747877,31.07983966,31.49769397
ALRU21DB,ALRU,21,down,14,9/3/19,46.97770118,53.74741259,60.8233076,47.83844474,54.93758731,62.39377848,31.67125473,31.87932812,32.16282769
ALRU21DB,ALRU,21,down,21,9/10/19,46.901312,53.46730384,60.32768445,48.56974939,55.60105098,62.95467206,30.52327219,30.74493937,31.0726468
ALRU21DB,ALRU,21,down,36,9/25/19,52.24213726,59.54988052,67.18168835,57.62355063,65.8971729,74.61037018,40.74390461,40.97459821,41.27477266
ALRU21DB,ALRU,21,down,55,10/14/19,38.33803757,43.56836598,49.04387568,42.44014718,48.2837658,54.42652005,30.21611408,30.38890795,30.63277689
ALRU21DC,ALRU,21,down,0,8/20/19,37.78208245,42.98259754,48.44154265,38.40236011,43.82607618,49.50356634,24.51987062,24.75113748,25.09802144
ALRU21DC,ALRU,21,down,3,8/23/19,38.96977821,44.36284699,50.05787293,40.26320946,46.03894634,52.06637937,26.35721325,26.54705067,26.81257961
ALRU21DC,ALRU,21,down,7,8/27/19,38.80902703,44.27673525,49.94030565,41.08890521,46.97878699,53.13327251,28.24368151,28.45796179,28.77369795
ALRU21DC,ALRU,21,down,14,9/3/19,40.30096771,46.09408415,52.13047853,39.63631469,45.50112386,51.64845158,23.5026885,23.77925237,24.19361594
ALRU21DC,ALRU,21,down,21,9/10/19,37.13670225,42.37989634,47.86682955,36.51313706,41.81870668,47.38816192,23.35120059,23.55962054,23.87048942
ALRU21DC,ALRU,21,down,36,9/25/19,43.51485208,49.80821383,56.38510926,44.92198739,51.97955597,59.40175627,26.86974784,27.08701776,27.40706305
ALRU21DD,ALRU,21,down,0,8/20/19,43.67353649,49.67067513,55.90678091,46.38671872,52.97559536,59.87591082,24.0613044,24.32641518,24.74721632
ALRU21DD,ALRU,21,down,3,8/23/19,38.08343092,52.01169018,66.85735794,41.29774847,55.6492973,71.63238359,14.80358518,28.55389166,42.17368496
ALRU21DD,ALRU,21,down,7,8/27/19,44.21251576,50.42074692,56.91757745,48.54238217,55.58573848,62.97271719,28.646426,28.96986296,29.48371284
ALRU21DD,ALRU,21,down,14,9/3/19,46.86476683,53.58530156,60.61708217,48.72447616,55.98681107,63.57907314,29.26841784,29.52278442,29.9035233
ALRU21DD,ALRU,21,down,21,9/10/19,41.24050637,47.20415249,53.47247056,42.45546573,48.83526027,55.50243454,23.88407579,24.02316215,24.20454995
ALRU21DD,ALRU,21,down,36,9/25/19,46.70031079,53.29800272,60.15861318,51.94080035,59.45358427,67.35427725,34.60264817,34.8351297,35.155846
ALRU21DD,ALRU,21,down,56,10/15/19,45.88316549,52.18073279,58.75456572,47.66004894,54.38937645,61.4030525,35.47275306,35.73126641,36.02895238
ALRU31DA,ALRU,31,down,0,10/23/18,141.4039183,351.2352516,565.2579741,142.0155439,364.7297484,594.6271982,46.25251685,46.42900255,46.67100556
ALRU31DA,ALRU,31,down,3,10/26/18,141.5321067,344.9723275,551.1964522,136.7700532,343.7391957,555.3676144,48.89736138,49.10799974,49.44995867
ALRU31DA,ALRU,31,down,7,10/30/18,134.6489938,341.2844956,552.8552255,136.8149395,357.9096141,588.654858,42.88120566,43.05280158,43.29463313
ALRU31DA,ALRU,31,down,14,11/6/18,128.6701756,313.6631759,501.0085071,124.2484485,311.8859911,503.6853731,45.7400547,46.10663935,46.52949843
ALRU31DA,ALRU,31,down,21,11/13/18,103.5008211,255.6130827,410.3278837,107.5191037,272.3592444,441.2314738,37.63255114,37.84874127,38.15709676
ALRU31DA,ALRU,31,down,28,11/20/18,118.4903571,293.5858652,471.4830896,119.8339139,304.8370233,495.0765979,46.63085537,46.86035838,47.13331835
ALRU31DA,ALRU,31,down,35,11/27/18,98.90885546,245.980021,396.0808508,99.41505776,252.5636156,410.2511898,34.09711196,34.41714836,34.79564726
ALRU31DA,ALRU,31,down,42,12/4/18,87.42800826,217.0731496,349.1980252,90.69891635,230.1291327,373.1622723,31.37171845,31.52291561,31.72362063
ALRU31DB,ALRU,31,down,0,3/22/18,70.10224939,163.4264755,257.6681385,67.8691204,160.7231571,254.6515904,33.58140745,33.97588956,34.62965565
ALRU31DB,ALRU,31,down,3,3/25/18,59.18489216,145.0332207,232.2621014,60.86813215,150.6202211,241.8223296,38.41103277,38.58491212,38.87034357
ALRU31DB,ALRU,31,down,7,3/29/18,57.1275333,125.6941986,194.6570122,62.78818829,139.5135446,216.7956232,35.71619343,36.47278431,37.76828025
ALRU31DB,ALRU,31,down,28,4/19/18,74.04364448,183.1284311,294.2175374,74.86036749,187.6723148,302.997264,37.13145995,37.28702069,37.51027975
ALRU31DB,ALRU,31,down,35,4/26/18,67.7739306,167.4319285,268.7909747,70.46197087,176.2381233,284.1921427,37.6359386,37.80822741,38.05161167
ALRU31DB,ALRU,31,down,42,5/3/18,78.07228081,193.5097053,310.9079192,78.57704001,197.1660983,318.418705,38.13953206,38.27764126,38.50255777
ALRU31DB,ALRU,31,down,50,5/11/18,91.13647114,222.5679084,355.832131,91.23405931,226.1700049,363.6761001,35.33796109,35.5384054,35.83352562
ALRU31DC,ALRU,31,down,0,3/22/18,60.49451394,137.4723223,214.3582279,60.13875801,138.1747827,216.7161034,27.80083316,28.08350781,28.53718124
ALRU31DC,ALRU,31,down,3,3/25/18,56.91264053,137.7507451,219.5921494,56.84182009,139.0624834,222.393622,32.22690471,32.39051021,32.664674
ALRU31DC,ALRU,31,down,7,3/29/18,58.31718505,135.8159406,214.4929661,60.43737133,142.3516784,225.7577494,30.88406472,31.57606762,32.73660805
ALRU31DC,ALRU,31,down,21,4/12/18,70.16419428,168.0979082,267.2163385,69.58520019,169.5895887,270.9486377,30.66166441,30.85836296,31.1431153
ALRU31DC,ALRU,31,down,28,4/19/18,72.11251601,179.1591431,288.0303152,72.39801881,182.8654098,295.9641396,30.2527229,30.41732229,30.65054449
ALRU31DC,ALRU,31,down,35,4/26/18,70.44848574,174.7170852,281.0255556,72.29769454,182.0197735,294.562269,34.49709895,34.67971246,34.94631428
ALRU31DC,ALRU,31,down,42,5/3/18,81.33361419,201.688603,324.3543769,80.97110508,204.6891545,331.4030196,30.57540775,30.74005295,30.97764007
ALRU31DC,ALRU,31,down,50,5/11/18,68.44246569,168.1500211,269.2406652,69.92082135,173.4515821,279.008819,33.00026761,33.16389355,33.3768152
ALRU31DD,ALRU,31,down,0,3/22/18,106.3307329,248.1290212,391.6057941,107.1448579,256.0463545,406.8488935,44.85839691,45.25334021,45.89866011
ALRU31DD,ALRU,31,down,3,3/25/18,96.30397807,236.7624678,379.2901441,100.0886666,250.1654902,403.4069315,49.05250769,49.22819756,49.51846253
